name,type,chunks,size,compressed,max_n,min_val,max_val
CHROM,String,6753,390.65 GiB,164.43 MiB,1,n/a,n/a
POS,Integer,6753,390.65 GiB,5.36 GiB,1, 1, 1e+08
QUAL,Float,6753,390.65 GiB,13.51 GiB,1, 3, 2.7e+05
ID,String,1145,55.81 GiB,1.27 MiB,0,n/a,n/a
FILTERS,String,6753,390.65 GiB,108.89 MiB,0,n/a,n/a
REF,String,6753,390.65 GiB,2.77 GiB,1,n/a,n/a
ALT,String,6997,407.81 GiB,3.93 GiB,3,n/a,n/a
INFO/INDEL,Flag,1257,57.67 GiB,55.59 MiB,1, 1, 1
INFO/IDV,Integer,1257,57.67 GiB,83.68 MiB,1, 1, 4.3e+02
INFO/IMF,Float,1257,57.67 GiB,117.22 MiB,1, 0.007, 1
INFO/DP,Integer,6753,390.65 GiB,7.07 GiB,1, 1, 3.3e+05
INFO/VDB,Float,6751,390.47 GiB,14.5 GiB,1, 0, 1
INFO/RPBZ,Float,6753,390.59 GiB,16.19 GiB,1,-1.6e+04, 1.8e+04
INFO/MQBZ,Float,6753,390.59 GiB,15.61 GiB,1,-4.3e+03, 2.2e+04
INFO/BQBZ,Float,6753,390.56 GiB,15.57 GiB,1,-8.5e+03, 4.2e+03
INFO/MQSBZ,Float,6751,390.29 GiB,13.72 GiB,1,-4.4e+04, 3e+04
INFO/SCBZ,Float,6753,390.59 GiB,15.85 GiB,1,-1.4e+04, 1.4e+04
INFO/FS,Float,6753,390.65 GiB,62.99 MiB,1, 0, 0
INFO/SGB,Float,6753,390.65 GiB,14.55 GiB,1,-2.8e+05, 9.8e+04
INFO/MQ0F,Float,6753,390.65 GiB,62.99 MiB,1, 0, 0
FORMAT/PL,Integer,836866,51.06 TiB,6.02 TiB,10, 0, 4e+02
FORMAT/GT,Integer,363571,22.16 TiB,590.94 GiB,3,-1, 3
INFO/AC,Integer,6879,399.86 GiB,7.64 GiB,3, 1, 2.1e+03
INFO/AN,Integer,6753,390.65 GiB,4.32 GiB,1, 2, 2.1e+03
INFO/DP4,Integer,8543,502.27 GiB,27.36 GiB,4, 0, 3.2e+05
INFO/MQ,Integer,6753,390.65 GiB,900.17 MiB,1, 5, 60
